X,year,month,day,hour,season,PM2.5,PM10,SO2,CO,NO2,O3,TEMP,DEWP,HUMI,PRES,RAIN,IRAIN,winddir,wd,cbwd,WSPM,Iws
113701,2023,2,18,12,4,195.915790471856,220.152795478683,2.18316777644362,1.41905905468835,77.5024560637485,4.36633555288724,2.9,-2.8,66.0,1014.0,0.0,0.0,NA,NE,NE,1.1,2.2
113702,2023,2,18,13,4,203.0,226.0,2.18316777644362,1.52821744351053,78.5940399519703,6.54950332933086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113703,2023,2,18,14,4,211.780347994383,240.152834807028,2.18316777644362,1.41905905468835,74.2277043990831,10.9158388822181,3.7,-2.7,63.0,1013.5,NA,NA,27.0,NNE,NE,1.6,1.6
113704,2023,2,18,15,4,226.508164542558,248.854261492945,3.27475166466543,1.41905905468835,68.769784957974,20.7400938762144,4.5,-2.6,60.0,1014.0,0.0,0.0,NA,NE,NE,1.1,2.7
113705,2023,2,18,16,4,118.472307692308,131.749376657825,3.27475166466543,0.873267110577448,40.388603864207,46.9381071935378,6.3,-5.1,44.0,1015.0,0.0,0.0,NA,NE,NE,1.7,4.4
113706,2023,2,18,17,4,9.14328066977757,21.3343215628143,NA,0.327475166466543,12.0074227704399,75.3192882873049,5.4,-9.6,33.0,1017.1,0.0,0.0,335.0,NNW,NW,6.2,6.2
113707,2023,2,18,18,4,5.04463274703707,16.1428247905186,3.27475166466543,0.218316777644362,10.9158388822181,79.6856238401921,4.0,-12.0,30.0,1019.0,0.0,0.0,NA,NW,NW,4.0,10.2
113708,2023,2,18,19,4,4.01035184208544,12.0310555262563,3.27475166466543,0.218316777644362,12.0074227704399,77.5024560637485,2.8,-15.8,24.0,1021.0,0.0,0.0,NA,NW,NW,4.2,14.4
113709,2023,2,18,20,4,3.99732074988899,9.99330187472248,3.27475166466543,0.218316777644362,12.0074227704399,76.4108721755267,2.2,-17.4,22.0,1022.1,0.0,0.0,332.0,NNW,NW,5.4,19.8
113710,2023,2,18,21,4,3.98364538687119,10.9550248138958,3.27475166466543,0.218316777644362,9.82425499399629,78.5940399519703,1.5,-15.5,27.0,1023.0,0.0,0.0,NA,NE,NE,2.5,2.5
113711,2023,2,18,22,4,3.99044859250339,9.97612148125847,3.27475166466543,0.218316777644362,8.73267110577448,78.5940399519703,1.7,-15.3,27.0,1022.0,0.0,0.0,NA,NW,NW,3.4,3.4
113712,2023,2,18,23,4,3.98771727929839,11.9631518378952,3.27475166466543,0.218316777644362,8.73267110577448,78.5940399519703,1.7,-14.5,29.0,1022.7,0.0,0.0,315.0,NW,NW,2.8,6.2
113713,2023,2,19,0,4,3.9933539063676,15.9734156254704,3.27475166466543,0.218316777644362,8.73267110577448,79.6856238401921,1.9,-14.7,28.0,1022.0,0.0,0.0,NA,NW,NW,6.0,12.2
113714,2023,2,19,1,4,5.99220984494957,24.9675410206232,3.27475166466543,0.218316777644362,14.1905905468835,73.1361205108613,2.0,-14.6,28.0,1022.0,0.0,0.0,NA,NW,NW,3.4,15.6
113715,2023,2,19,2,4,7.97877257295987,41.8885560080393,3.27475166466543,0.218316777644362,13.0990066586617,75.3192882873049,1.6,-14.1,30.0,1021.9,0.0,0.0,337.0,NNW,NW,1.4,17.0
113716,2023,2,19,3,4,6.93244204425711,36.6429079482162,3.27475166466543,0.218316777644362,14.1905905468835,74.2277043990831,-0.3,-12.3,40.0,1022.0,0.0,0.0,NA,NE,NE,1.1,1.1
113717,2023,2,19,4,4,5.92392074135463,33.5688842010096,3.27475166466543,0.218316777644362,19.6485099879926,65.4950332933086,-1.4,-12.4,43.0,1021.0,0.0,0.0,NA,NW,NW,1.1,1.1
113718,2023,2,19,5,4,4.98385820839298,29.9031492503579,3.27475166466543,0.218316777644362,18.5569260997708,65.4950332933086,1.2,-14.1,31.0,1021.0,0.0,0.0,44.0,NE,NE,0.5,0.5
113719,2023,2,19,6,4,4.94023581707225,23.7131319219468,3.27475166466543,0.218316777644362,26.1980133173234,57.8539460757559,-1.2,-12.8,41.0,1021.0,0.0,0.0,NA,NE,CV,0.4,0.4
113720,2023,2,19,7,4,3.97836208845024,18.8972199201386,3.27475166466543,0.218316777644362,16.3737583233271,69.8613688461958,0.6,-13.9,33.0,1021.0,0.0,0.0,NA,NW,NW,1.3,1.3
113721,2023,2,19,8,4,4.01604886204455,21.0842565257339,3.27475166466543,0.218316777644362,25.1064294291016,58.9455299639777,3.3,-14.9,25.0,1021.4,0.0,0.0,328.0,NNW,NW,2.3,3.6
113722,2023,2,19,9,4,5.04565659609734,22.2008890228283,3.27475166466543,0.218316777644362,18.5569260997708,65.4950332933086,4.6,-14.8,23.0,1021.0,0.0,0.0,NA,SW,SW,3.1,3.1
113723,2023,2,19,10,4,5.09836698560988,21.4131413395615,3.27475166466543,0.327475166466543,19.6485099879926,68.769784957974,7.5,-15.4,18.0,1021.0,0.0,0.0,NA,NW,NW,2.2,2.2
113724,2023,2,19,11,4,7.18730818245572,31.829507665161,3.27475166466543,0.327475166466543,27.2895972055452,58.9455299639777,9.2,-13.9,18.0,1020.1,0.0,0.0,296.0,WNW,NW,2.5,4.7
113725,2023,2,19,12,4,6.162829319846,27.732731939307,3.27475166466543,0.327475166466543,16.3737583233271,72.0445366226395,9.0,-14.8,17.0,1019.0,0.0,0.0,NA,NW,NW,1.3,6.0
113726,2023,2,19,13,4,6.21263412422548,25.8859755176062,3.27475166466543,0.218316777644362,8.73267110577448,80.7772077284139,11.0,-14.7,15.0,1018.0,0.0,0.0,NA,NW,NW,3.8,9.8
113727,2023,2,19,14,4,7.27379781689448,29.0951912675779,3.27475166466543,0.218316777644362,8.73267110577448,81.8687916166357,11.7,-13.3,16.0,1016.9,0.0,0.0,266.0,W,NW,2.3,12.1
113728,2023,2,19,15,4,8.3465778316172,31.2996668685645,3.27475166466543,0.218316777644362,8.73267110577448,84.0519593930794,12.6,-12.6,16.0,1016.0,0.0,0.0,NA,NW,NW,2.1,14.2
113729,2023,2,19,16,4,6.24020669291339,31.2010334645669,3.27475166466543,0.218316777644362,8.73267110577448,85.1435432813012,11.7,-13.3,16.0,1016.0,0.0,0.0,NA,NW,NW,4.0,18.2
113730,2023,2,19,17,4,5.17621582962492,28.9868086458996,3.27475166466543,0.218316777644362,9.82425499399629,82.9603755048576,10.5,-12.9,18.0,1016.4,0.0,0.0,329.0,NNW,NW,4.9,23.1
113731,2023,2,19,18,4,6.18589743589744,30.9294871794872,3.27475166466543,0.218316777644362,10.9158388822181,80.7772077284139,9.5,-11.8,21.0,1017.0,0.0,0.0,NA,NW,NW,2.5,25.6
113732,2023,2,19,19,4,5.13709007102917,32.8773764545867,3.27475166466543,0.218316777644362,12.0074227704399,78.5940399519703,8.8,-11.8,22.0,1018.0,0.0,0.0,NA,NW,NW,2.6,28.2
113733,2023,2,19,20,4,4.08986559403512,31.6964583537722,3.27475166466543,0.218316777644362,10.9158388822181,79.6856238401921,7.8,-12.1,23.0,1019.3,0.0,0.0,326.0,NW,NW,3.0,31.2
113734,2023,2,19,21,4,4.07869358848791,29.5705285165373,3.27475166466543,0.218316777644362,15.2821744351053,73.1361205108613,7.5,-12.3,23.0,1021.0,0.0,0.0,NA,NW,NW,4.3,35.5
113735,2023,2,19,22,4,4.04379567543133,29.3175186468771,3.27475166466543,0.218316777644362,19.6485099879926,66.5866171815304,5.1,-12.0,28.0,1021.0,0.0,0.0,NA,NE,CV,0.0,0.0
113736,2023,2,19,23,4,3.99307338447986,28.949782037479,3.27475166466543,0.218316777644362,19.6485099879926,64.4034494050868,1.8,-10.7,39.0,1021.7,0.0,0.0,NA,NA,CV,0.0,0.0
113737,2023,2,20,0,4,4.95053199488683,32.6735111662531,3.27475166466543,0.327475166466543,28.3811810937671,52.3960266346469,-0.1,-9.0,51.0,1023.0,0.0,0.0,NA,NE,NE,1.2,1.2
113738,2023,2,20,1,4,3.99815775622227,31.9852620497782,3.27475166466543,0.218316777644362,26.1980133173234,53.4876105228687,2.5,-12.2,33.0,1023.0,0.0,0.0,NA,NE,NE,2.0,3.2
113739,2023,2,20,2,4,3.97221992621035,30.7847044281302,3.27475166466543,0.218316777644362,40.388603864207,38.2054360877633,0.9,-12.9,35.0,1023.7,0.0,0.0,42.0,NE,NE,1.7,4.9
